"day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
4,2015,6,11,"2015-06-11",64.6,59.7,1012.3,9.1,11.8,18.1,22,73,57.9,0,0,0.794630140723118
2,2017,9,5,"2017-09-05",68.1,66.4,1012.1,6.9,14,18.1,24.1,73,62.1,0,0,1.15332894435703
5,2014,9,12,"2014-09-12",67.1,58.8,1016.6,9.7,11.4,18.1,22,73,54,0,0,1.35455022444434
6,2014,8,23,"2014-08-23",65.6,60.1,1017.9,9.8,10.8,18.1,22.9,73,57.9,0.02,0,-1.06010513660344
3,2016,9,7,"2016-09-07",70.3,66.8,1016.3,8.4,13.1,18.1,26,77,64.9,0.01,0,0.637152617176523
5,2020,7,3,"2020-07-03",69.5,66.2,1008.6,7,9.8,18.1,22.9,77,64,0,1,-2.38991533544136
5,2016,9,2,"2016-09-02",69.2,63.2,1015.1,9.4,9.9,18.1,21,77,62.1,0.05,0,1.06584143127559
7,2015,8,9,"2015-08-09",67,62.1,1014.6,9.2,13.1,18.1,26,77,64,0,0,-0.753898840818399
5,2018,7,6,"2018-07-06",70.6,69.3,1017.8,4.8,11.5,18.1,24.1,77,66.9,0,1,0.689645125025388
3,2018,7,18,"2018-07-18",71.2,66.7,1010.1,7.9,9,18.1,22.9,77,66.9,0,0,0.98710266950229
7,2014,7,6,"2014-07-06",68.2,59.1,1016.4,10,14.1,18.1,26,77,62.1,0.11,0,-1.08635139052788
2,2019,7,23,"2019-07-23",70.4,67.8,1008.4,7.8,10.6,18.1,24.1,77,64.4,0,1,-0.193978757097172
2,2015,6,23,"2015-06-23",65.5,61.1,1013.9,7.8,10.2,18.1,26,77,59,0,1,1.11833393912445
2,2016,8,23,"2016-08-23",69,52.6,1023.1,10,10.4,18.1,26,81,64,0.01,0,0.540916352786938
3,2018,1,31,"2018-01-31",25,14.8,1019.2,10,13.1,18.1,25.1,37,19.9,0.18,0,0.182217549153027
5,2019,1,11,"2019-01-11",28.6,13.4,1013.9,10,14.2,18.1,26,37,26.1,0,0,0.602157611943947
7,2020,3,1,"2020-03-01",28.7,11.6,1015.4,10,13,18.1,24.1,39,21.9,0,0,-1.33131642715591
2,2013,12,17,"2013-12-17",28.6,15.9,1021.4,9,9.6,18.1,25.1,41,21,0,0,1.11833393912445
1,2015,2,23,"2015-02-23",29.4,19.6,1020.2,6,8.9,18.1,25.1,41,21,0.25,1,-0.0102549796261447
6,2017,2,11,"2017-02-11",32,24.7,1017.1,8.4,10,18.1,22.9,41,16,0.01,0,-0.561426312039227
3,2019,3,27,"2019-03-27",34.4,16.2,1030.9,10,10.7,18.1,25.1,43,28,0,0,-0.115239995323875
1,2018,12,10,"2018-12-10",35.5,23.8,1018.4,10,10.1,18.1,0,43,25,0,0,0.663398871100956
3,2019,12,18,"2019-12-18",39.3,35.2,1004.4,7.6,12.5,18.1,24.1,45,30,0.55,0,1.10083643650816
2,2017,3,7,"2017-03-07",36.7,27.5,1030.1,9.2,10.7,18.1,25.1,45,24.1,0,0,0.540916352786938
2,2013,2,12,"2013-02-12",41.4,36.6,1006.1,6.5,11.9,18.1,27,45,36,0.36,1,-0.675160079045101
2,2016,4,26,"2016-04-26",46.8,42.8,1010.4,9,9.4,18.1,25.1,55,39.9,0.07,0,-0.84138635389984
6,2014,4,26,"2014-04-26",44.9,36.6,1009.1,9.4,12.2,18.1,26,55,42.1,0,0,-0.237722513637893
1,2016,3,28,"2016-03-28",45.1,41.4,1008.2,5.9,11.8,18.1,26,55,37,0.02,1,0.724640130257965
4,2015,12,17,"2015-12-17",48.9,43.7,1019.4,8.8,9.7,18.1,0,57,42.1,0,0,1.48578149406651
3,2015,12,30,"2015-12-30",44.8,40.6,1026.3,9.4,8.8,18.1,25.1,57,36,0.58,0,-0.648913825120669
3,2015,12,2,"2015-12-02",53.6,51.9,1012.2,2.3,9.1,18.1,26,57,48.9,0.65,1,0.698393876333533
7,2015,4,5,"2015-04-05",41.6,27.3,1020.4,10,12.5,18.1,25.1,57,34,0.05,0,-1.34006517846406
1,2013,5,13,"2013-05-13",53.1,37.1,1013.5,9.9,11.9,18.1,22,57,46,0.07,0,0.0159912742982878
4,2015,11,19,"2015-11-19",50.4,43.6,1028.9,10,11.8,18.1,0,57,30.9,0,0,1.94071656209
4,2017,11,30,"2017-11-30",43.2,34,1024.6,10,10.1,18.1,27,59,33.1,0,0,0.768383886798686
